Round 1 | Val Acc: 0.7894
Round 2 | Val Acc: 0.7140
Round 3 | Val Acc: 0.3084
Round 4 | Val Acc: 0.3126
Round 5 | Val Acc: 0.3318
Round 6 | Val Acc: 0.3040
Round 7 | Val Acc: 0.4020
Round 8 | Val Acc: 0.3054
Round 9 | Val Acc: 0.3292
Round 10 | Val Acc: 0.4466
Round 11 | Val Acc: 0.4836
Round 12 | Val Acc: 0.3948
Round 13 | Val Acc: 0.3756
Round 14 | Val Acc: 0.3404
Round 15 | Val Acc: 0.2796
Round 16 | Val Acc: 0.3298
Round 17 | Val Acc: 0.3848
Round 18 | Val Acc: 0.2384
Round 19 | Val Acc: 0.2944
Round 20 | Val Acc: 0.2884
