Round 1 | Val Acc: 0.7446
Round 2 | Val Acc: 0.7182
Round 3 | Val Acc: 0.6224
Round 4 | Val Acc: 0.2610
Round 5 | Val Acc: 0.3814
Round 6 | Val Acc: 0.4006
Round 7 | Val Acc: 0.2636
Round 8 | Val Acc: 0.3314
Round 9 | Val Acc: 0.4014
Round 10 | Val Acc: 0.3078
Round 11 | Val Acc: 0.3514
Round 12 | Val Acc: 0.4178
Round 13 | Val Acc: 0.3914
Round 14 | Val Acc: 0.3588
Round 15 | Val Acc: 0.3884
Round 16 | Val Acc: 0.3534
Round 17 | Val Acc: 0.3962
Round 18 | Val Acc: 0.4610
Round 19 | Val Acc: 0.2962
Round 20 | Val Acc: 0.4128
