Round 1 | Val Acc: 0.8660
Round 2 | Val Acc: 0.8706
Round 3 | Val Acc: 0.8684
Round 4 | Val Acc: 0.8760
Round 5 | Val Acc: 0.8666
Round 6 | Val Acc: 0.8794
Round 7 | Val Acc: 0.8712
Round 8 | Val Acc: 0.8616
Round 9 | Val Acc: 0.8704
Round 10 | Val Acc: 0.8574
Round 11 | Val Acc: 0.8588
Round 12 | Val Acc: 0.8620
Round 13 | Val Acc: 0.8664
Round 14 | Val Acc: 0.8740
Round 15 | Val Acc: 0.8612
Round 16 | Val Acc: 0.8588
Round 17 | Val Acc: 0.8672
Round 18 | Val Acc: 0.8684
Round 19 | Val Acc: 0.8522
Round 20 | Val Acc: 0.8586
