Round 1 | Val Acc: 0.8372
Round 1 | Val Acc: 0.8292
Round 2 | Val Acc: 0.8156
Round 3 | Val Acc: 0.8098
Round 4 | Val Acc: 0.7692
Round 5 | Val Acc: 0.7464
Round 6 | Val Acc: 0.7734
Round 7 | Val Acc: 0.7742
Round 8 | Val Acc: 0.7620
Round 9 | Val Acc: 0.7742
Round 10 | Val Acc: 0.7786
Round 11 | Val Acc: 0.7948
Round 12 | Val Acc: 0.7808
Round 13 | Val Acc: 0.7070
Round 14 | Val Acc: 0.7540
Round 15 | Val Acc: 0.7542
Round 16 | Val Acc: 0.7404
Round 17 | Val Acc: 0.7612
Round 18 | Val Acc: 0.7928
Round 19 | Val Acc: 0.7816
Round 20 | Val Acc: 0.7880
