Round 1 | Val Acc: 0.8120
Round 2 | Val Acc: 0.7748
Round 3 | Val Acc: 0.7844
Round 4 | Val Acc: 0.7816
Round 5 | Val Acc: 0.7864
Round 6 | Val Acc: 0.7886
Round 7 | Val Acc: 0.7918
Round 8 | Val Acc: 0.7944
Round 9 | Val Acc: 0.7612
Round 10 | Val Acc: 0.7884
Round 11 | Val Acc: 0.8164
Round 12 | Val Acc: 0.8142
Round 13 | Val Acc: 0.7996
Round 14 | Val Acc: 0.7922
Round 15 | Val Acc: 0.7852
Round 16 | Val Acc: 0.7870
Round 17 | Val Acc: 0.7762
Round 18 | Val Acc: 0.7840
Round 19 | Val Acc: 0.7912
Round 20 | Val Acc: 0.7982
